[2019-02-04 10:58:22,607 CameraGroup] ERROR: No cam found.
[2019-02-05 17:51:45,941 Cl:CameraGroup Fx:getCamByID Line:40 ] ERROR: No cam found.
[2019-02-06 12:55:27,242 Cl:CameraGroup Fx:getCamByID Line:40 ] ERROR: No cam found.
[2019-02-06 13:20:44,993 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:77 ] ERROR: Missing intrinsic camera parameters, camera not calibrated
[2019-02-06 13:22:31,281 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:77 ] ERROR: Missing intrinsic camera parameters, camera not calibrated
[2019-02-06 14:01:47,422 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:02:42,489 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:06:12,519 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:17:38,221 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:37:59,911 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:39:47,254 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:44:06,759 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:44:49,180 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:45:34,459 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:48:26,289 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:49:21,546 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 14:53:53,602 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 15:17:30,009 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 15:20:44,438 Cl:CameraGroup Fx:getCamByID Line:40 ] ERROR: No cam found.
[2019-02-06 15:25:37,136 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 15:34:24,820 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:77 ] ERROR: Missing intrinsic camera parameters, camera not calibrated
[2019-02-06 15:34:24,909 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 15:35:16,900 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:77 ] ERROR: Missing intrinsic camera parameters, camera not calibrated
[2019-02-06 15:35:16,964 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
[2019-02-06 15:41:03,608 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:77 ] ERROR: Missing intrinsic camera parameters, camera not calibrated
[2019-02-06 15:41:03,663 Cl:SingleCameraPoseEstimator Fx:estimateModelPose Line:87 ] ERROR: One or more image points not found, cannot estimate pose
